id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,xy_goal_tol,des_lin_vel,stop_flag,skip_flag
18,25.70476722717285,20.3705997467041,1.0233159065246582,-0.036367561124278545,0.027374823804026113,0.8748511630584107,-0.48224837151313,2.0,0.4,0,1
19,24.466768264770508,17.614723205566406,0.998424768447876,0.0327985113773167,-0.029002159322974817,-0.835801898303524,0.547282625597317,2.0,0.4,0,1
20,23.15193748474121,14.855748176574707,0.9737212657928467,-0.03073853211069441,0.018139730150738477,0.8758270323167068,-0.4813035569085536,2.0,0.4,0,1
21,22.581134796142578,14.241500854492188,0.9643633365631104,-0.038013392783675694,0.01560944907148526,0.9704421093511206,-0.23780967949749077,2.0,0.4,0,1
22,21.93977928161621,14.155951499938965,0.9302953481674194,-0.03996091232036201,0.012251181136766608,0.9987406251106893,0.027752376133556852,2.0,0.4,0,1
23,20.65363311767578,14.756909370422363,0.8361548185348511,-0.03882144706552874,0.005108708168124204,0.9456390967393052,0.3228520776088871,2.0,0.4,0,1
24,18.083898544311523,16.396509170532227,0.6745957732200623,-0.037237526010059196,0.004912674988285582,0.9677511110627072,0.2490924133181016,2.0,0.4,0,1
25,15.439482688903809,17.853317260742188,0.5248715281486511,-0.034914137342021395,0.005142024285767878,0.9616175315514354,0.2721145093781442,2.0,0.4,0,1
26,13.683099746704102,18.926511764526367,0.48747628927230835,-0.0311152171929095,0.006021299975482686,0.9991453064747621,-0.026537296187467804,2.0,0.4,0,1
27,13.647770881652832,18.804031372070312,0.47284814715385437,-0.028454696975267955,0.010000001200815076,0.9490395600526832,-0.3137104119359787,2.0,0.4,0,1
28,13.741257667541504,18.835208892822266,0.45934075117111206,0.022335072188580635,-0.01111586634807571,-0.8328575350379324,0.552924800731283,2.0,0.4,0,1
29,13.77031135559082,18.83042335510254,0.4625791907310486,0.015254162286483347,-0.011276354383180776,-0.6607134439553415,0.7503984803360018,2.0,0.4,0,1
30,13.796576499938965,18.834341049194336,0.46080827713012695,0.0072546101867066275,-0.010557913906497136,-0.411708445914761,0.9112255707489464,2.0,0.4,0,1
31,16.355422973632812,17.052385330200195,0.5935647487640381,0.0023177753113050297,-0.01370657422835906,-0.26585163934490097,0.9639137125429775,2.0,0.4,0,1
32,19.07211685180664,15.74591064453125,0.7687753438949585,0.0018042298964511235,-0.013648396979683862,-0.2550598820850231,0.9668272610908077,2.0,0.4,0,1
33,21.22041893005371,14.707622528076172,0.9015627503395081,-0.008805255672494927,-0.013476607380833942,0.02129152779137095,0.9996436870092844,2.0,0.4,0,1
34,21.47563934326172,14.972949981689453,0.9299962520599365,-0.020173011229961225,-0.011780759607983702,0.32428442740047553,0.9456711238597603,2.0,0.4,0,1
35,21.229955673217773,15.033327102661133,0.8986283540725708,-0.02943954578073213,-0.006809566906856884,0.5686833450444677,0.8220013399887649,2.0,0.4,0,1
36,21.2344970703125,15.076175689697266,0.8827102780342102,-0.03677715809633509,-0.00041056331579261376,0.7885707324285698,0.613843144119819,2.0,0.4,0,1
